iid,gender,condtn,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,like_o,prob_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,dec,attr,sinc,intel,fun,like,prob,met,extra
5,0,1,16,0,1,1,2,2,2,0,1,0,0,0,0,2,2,2,2,2,2,2,1,2,8,1,2,4,1,1,7,1,0,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,1,1,
5,0,1,17,0,1,1,3,2,2,1,1,0,0,0,0,1,1,2,2,1,1,2,1,2,8,1,2,4,1,1,7,1,0,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,1,1,
5,0,1,18,0,1,1,3,2,2,1,1,1,1,1,0,2,2,2,2,2,2,2,1,2,8,1,2,4,1,1,7,1,0,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,2,1,
5,0,1,19,1,2,1,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,2,1,2,8,1,2,4,1,1,7,1,0,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,2,1,
5,0,1,20,0,1,1,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,8,1,2,4,1,1,7,1,0,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,1,1,
6,0,1,11,0,4,0,3,2,2,1,1,1,0,0,0,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
6,0,1,12,0,4,0,2,2,2,0,0,2,0,0,0,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
6,0,1,13,0,6,1,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,0,2,2,2,2,2,1,1,
6,0,1,14,1,2,0,2,2,1,0,1,2,0,0,1,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
6,0,1,15,0,4,0,2,3,1,0,1,0,0,1,1,2,2,2,2,2,1,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,0,2,2,2,2,2,1,1,
6,0,1,16,0,2,0,2,2,2,0,1,0,0,0,1,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,0,1,2,2,0,1,1,1,
6,0,1,17,0,5,0,3,2,2,1,1,0,0,0,0,2,2,2,2,1,1,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
6,0,1,18,0,1,0,3,2,2,1,1,1,1,1,0,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,0,2,2,2,1,2,2,1,
6,0,1,19,1,5,0,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
6,0,1,20,0,5,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,1,4,1,1,1,3,1,1,4,0,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,2,1,
7,0,1,11,0,2,0,3,2,2,1,1,1,0,0,0,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,2,2,1,
7,0,1,12,0,3,0,2,2,2,0,0,2,0,0,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,2,1,1,
7,0,1,13,0,6,1,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2,2,2,2,2,1,
7,0,1,14,1,5,0,2,2,1,0,1,2,0,0,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
7,0,1,15,0,3,0,2,3,1,0,1,0,0,1,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,2,2,1,
7,0,1,16,0,6,0,2,2,2,0,1,0,0,0,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,2,2,1,
7,0,1,17,0,4,0,3,2,2,1,1,0,0,0,0,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
7,0,1,18,0,1,0,3,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,2,2,1,
7,0,1,19,1,4,0,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
7,0,1,20,0,2,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,1,4,2,4,1,5,1,1,7,1,1,1,1,1,0,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,11,0,1,1,3,2,2,1,1,1,0,0,0,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,12,1,2,1,2,2,2,0,0,2,0,0,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,13,1,5,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,14,1,4,1,2,2,1,0,1,2,0,0,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,15,1,3,0,2,3,1,0,1,0,0,1,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,16,1,3,1,2,2,2,0,1,0,0,0,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,17,0,1,1,3,2,2,1,1,0,0,0,0,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,18,1,2,1,3,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,19,1,5,1,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
8,0,1,20,1,3,1,2,2,2,0,0,0,0,0,1,2,2,2,2,2,2,2,13,2,1,1,1,5,1,6,6,0,1,1,1,1,0,1,0,1,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,11,0,2,0,3,2,2,1,1,1,0,0,0,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,12,1,1,0,2,2,2,0,0,2,0,0,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,13,1,7,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,14,1,3,0,2,2,1,0,1,2,0,0,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,15,1,1,0,2,3,1,0,1,0,0,1,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,16,1,5,0,2,2,2,0,1,0,0,0,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,17,1,3,0,3,2,2,1,1,0,0,0,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,18,0,1,0,3,2,2,1,1,1,1,1,0,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,19,1,4,0,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
9,0,1,20,0,3,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,13,6,1,1,1,4,1,9,6,1,0,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,2,2,1,
10,0,1,11,0,3,1,3,2,2,1,1,1,0,0,0,2,2,2,2,2,1,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,0,2,2,2,2,2,1,1,
10,0,1,12,0,7,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,
10,0,1,13,1,2,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,1,2,2,2,2,2,2,1,
10,0,1,14,0,2,1,2,2,1,0,1,2,0,0,1,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,0,2,2,2,2,2,0,1,
10,0,1,15,0,3,0,2,3,1,0,1,0,0,1,1,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,0,2,2,2,2,2,0,1,
10,0,1,17,0,5,1,3,2,2,1,1,0,0,0,0,2,2,2,1,1,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,1,2,2,2,2,2,0,1,
10,0,1,18,0,1,1,3,2,2,1,1,1,1,1,0,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,0,2,2,2,2,2,2,1,
10,0,1,19,1,5,1,3,2,2,0,1,0,0,1,1,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,1,2,2,2,2,2,2,1,
10,0,1,20,0,1,1,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,13,2,4,4,2,6,1,9,7,1,1,1,2,0,0,2,0,1,1,0,0,1,2,2,2,2,2,2,1,
11,1,1,1,0,2,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,2,0,3,1,2,2,2,0,1,1,0,0,0,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,1,1,
11,1,1,3,0,3,1,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,1,1,
11,1,1,4,0,2,1,2,2,1,1,1,1,0,0,0,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,1,1,
11,1,1,5,0,5,1,2,2,1,0,1,1,0,1,0,2,2,2,1,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,6,0,4,0,2,4,0,1,1,1,0,1,1,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,7,0,2,0,2,4,1,1,1,1,1,0,0,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,8,0,1,1,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,9,0,2,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,2,1,
11,1,1,10,0,3,1,3,2,1,1,1,2,0,0,0,2,2,2,2,2,1,3,8,2,7,3,1,5,4,2,7,2,1,1,1,0,0,1,0,1,1,1,0,0,2,2,2,2,2,1,1,
12,1,1,1,0,6,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,1,
12,1,1,2,0,2,1,2,2,2,0,1,1,0,0,0,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,1,
12,1,1,3,0,2,1,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,1,1,
12,1,1,4,0,2,1,2,2,1,1,1,1,0,0,0,2,2,2,2,2,0,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,1,1,
12,1,1,5,0,0,1,2,2,1,0,1,1,0,1,0,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,1,
12,1,1,6,0,4,0,2,4,0,1,1,1,0,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,1,
12,1,1,7,0,3,0,2,4,1,1,1,1,1,0,0,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,1,2,2,2,2,2,2,1,
12,1,1,8,1,2,1,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,1,2,2,2,2,2,2,1,
12,1,1,9,1,1,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,1,2,2,2,2,2,2,1,
12,1,1,10,0,7,1,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,7,2,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
13,1,1,2,0,1,0,2,2,2,0,1,1,0,0,0,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,3,0,1,0,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,5,0,2,0,2,2,1,0,1,1,0,1,0,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,6,0,6,1,2,4,0,1,1,1,0,1,0,2,2,2,2,2,1,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,8,1,5,0,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,9,1,7,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
13,1,1,10,1,2,0,3,2,1,1,1,2,0,0,1,2,2,2,2,2,2,2,1,4,3,5,2,7,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,
14,1,1,1,1,7,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,2,1,3,1,2,2,2,0,1,1,0,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,3,0,1,1,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,4,1,2,1,2,2,1,1,1,1,0,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,5,1,1,1,2,2,1,0,1,1,0,1,1,2,2,2,2,2,1,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,6,1,2,0,2,4,0,1,1,1,0,1,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,7,1,5,0,2,4,1,1,1,1,1,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,8,1,4,1,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,9,1,3,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
14,1,1,10,0,2,1,3,2,1,1,1,2,0,0,0,2,2,2,2,2,0,2,1,2,1,1,2,4,1,1,8,1,0,1,2,0,0,1,1,1,1,0,1,1,2,2,2,2,2,2,1,
15,1,1,1,1,3,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
15,1,1,2,0,4,0,2,2,2,0,1,1,0,0,0,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,0,1,
15,1,1,4,0,3,0,2,2,1,1,1,1,0,0,0,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
15,1,1,5,0,2,0,2,2,1,0,1,1,0,1,0,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,0,2,2,2,2,2,2,1,
15,1,1,6,0,4,0,2,4,0,1,1,1,0,1,0,2,2,2,2,2,1,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,1,1,
15,1,1,7,0,3,0,2,4,1,1,1,1,1,0,0,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
15,1,1,8,1,3,0,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
15,1,1,9,1,1,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
15,1,1,10,0,3,0,3,2,1,1,1,2,0,0,0,2,2,2,2,2,0,2,1,3,3,1,1,4,1,1,5,1,0,1,0,0,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,
16,1,1,1,0,3,0,2,4,1,1,1,1,1,1,0,2,2,2,2,2,2,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,2,0,8,1,2,2,2,0,1,1,0,0,0,2,2,2,1,2,2,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,4,0,4,1,2,2,1,1,1,1,0,0,0,2,2,2,2,2,1,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,5,0,1,1,2,2,1,0,1,1,0,1,1,2,2,2,2,2,1,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,0,2,2,2,2,2,2,1,
16,1,1,6,0,2,0,2,4,0,1,1,1,0,1,0,1,2,2,0,1,1,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,7,0,6,0,2,4,1,1,1,1,1,0,0,2,2,2,2,2,2,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,8,1,3,1,2,2,0,1,1,1,1,0,1,2,2,2,2,2,2,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
16,1,1,9,1,5,0,3,6,1,0,1,1,0,0,1,2,2,2,2,2,2,2,8,2,9,2,1,5,1,7,7,2,0,1,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,2,1,
17,1,1,1,0,4,0,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,13,2,1,1,3,3,2,2,4,2,1,1,0,0,0,1,1,1,1,0,0,0,1,2,2,2,1,0,1,
17,1,1,2,0,6,1,2,2,2,0,1,1,0,0,1,2,2,2,2,2,2,3,13,2,1,1,3,3,2,2,4,2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,2,1,2,1,1,
17,1,1,3,0,3,1,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,13,2,1,1,3,3,2,2,4,2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,2,2,1,1,1,
17,1,1,4,0,4,1,2,2,1,1,1,1,0,0,0,2,2,2,2,2,0,3,13,2,1,1,3,3,2,2,4,2,1,1,0,0,0,1,1,1,1,0,0,1,2,2,1,2,2,2,1,
17,1,1,5,0,1,1,2,2,1,0,1,1,0,1,1,2,2,2,2,2,1,3,13,2,1,1,3,3,2,2,4,2,1,1,0,0,0,1,1,1,1,0,0,0,1,1,2,2,1,1,1,
